Year,Title,Genre,Plot,Actors,Director,Rated,Runtime,Metascore
1913,The Movie Queen,"Short, Drama",N/A,N/A,N/A,N/A,N/A,N/A
1914,Oh! That Movie,"Short, Comedy",N/A,Julia de Kelety,Irving Billig,N/A,N/A,N/A
1915,The Nightmare of a Movie Fan,"Short, Comedy",N/A,"Beatrice Van, Joe King, Ray Hanford, Charles Giblyn",Charles Giblyn,N/A,N/A,N/A
1915,A Massive Movie Mermaid,"Short, Comedy","The director of the Desperation Film Company was putting on what he regarded as the greatest ""water tragedy"" ever written. The heroine, a magnificent swimmer, is swept overboard from a yacht and drowned while her husband-to-be sheds ","Arthur Cunningham, George T. Welsh, Jack Speis",N/A,N/A,N/A,N/A
1915,Movie Fans,"Short, Comedy","The young clerk had ambitions. He could not believe that he was destined all his life to try and make figures behave. He read of a one-time shipping clerk who devoted his time to scenarios, and was drawing down $10,000 a year ther...","Lorraine Huling, Billy Sullivan, Ernest C. Warde",George Foster Platt,N/A,N/A,N/A
1915,Millions for Movie Making,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,N/A
1915,Grand Opening of the World's Only Movie City,"Documentary, Short","This film comprises views taken of the celebrations attending the opening in March of Universal City, Cal., the only municipality in the world devoted entirely to the production of moving pictures. ""Big Charlie,"" the Universal elepha","Jane Bernoudy, William Clifford, Robert H. Cochrane",N/A,N/A,N/A,N/A
1915,The Movie Nut,"Short, Comedy",N/A,Bill Stinger,N/A,N/A,N/A,N/A
1916,Luke's Movie Muddle,"Comedy, Short","Lonesome Luke has a movie theater and also works the box office and as an usher. He has to put up with, among other things, an incompetent projectionist who falls asleep all the time. Complications ensue.","Harold Lloyd, Bebe Daniels, 'Snub' Pollard",Hal Roach,N/A,7 min,N/A
1916,A Movie Star,"Comedy, Short","Just as the local movie theater is about to begin showing a picture, the star of the film arrives to see the movie himself. On screen, the star must rescue his girl from danger. In the theater, the star finds that not all of the a...","Mack Swain, Louella Maxam, Mai Wells",Fred Hibbard,N/A,24 min,N/A
1916,The Trials of a Movie Cartoonist,"Short, Animation, Comedy",N/A,N/A,Pat Sullivan,N/A,N/A,N/A
1916,Estelle and Her Movie Hero,"Animation, Short, Comedy",N/A,N/A,Harry Palmer,N/A,N/A,N/A
1916,From Kitchen Mechanic to Movie Star,"Animation, Comedy, Short",N/A,N/A,Rube Goldberg,N/A,N/A,N/A
1916,Movie Struck,"Short, Comedy","Tess and Jerry contract the movie fever, and decide to enter the profession. Tess' parents object and lock her up in her room. Tess communicates with Jerry, and the latter aids her escape. Jerry secures a rope and attaches one end...","George Ovey, Claire Anderson, George George",Milton J. Fahrney,N/A,N/A,N/A
1916,Movie Money,"Short, Comedy",N/A,Frank Daniels,Charles Dickson,N/A,N/A,N/A
1917,His Movie Mustache,"Short, Comedy",N/A,Oliver Hardy,Oliver Hardy,N/A,N/A,N/A
1917,"Bobby, Movie Director","Comedy, Short",N/A,"Bobby Connelly, Mabel Ballin, Aida Horton, William Shea",Wesley Ruggles,N/A,N/A,N/A
1917,Movie Stunts by Tom Mix,"Short, Comedy, Drama",A collection of stunts pulled from previous movies starring Tom Mix.,Tom Mix,N/A,N/A,N/A,N/A
1918,"My Wife, the Movie Star",Comedy,"While making a movie in the Alps, the female star falls in love with a nobleman.","Ossi Oswalda, Paul Biensfeldt, Julius Dewald",Ernst Lubitsch,N/A,50 min,N/A
1918,The Movie Dummy,"Short, Comedy","A young man works in a factory that makes dummies for movie studios. He becomes so bored that one day when an order for a dummy comes in, he decides to pretend to be the dummy to see what it's like inside a film studio.","Armando Novello, Bud Jamison, Marie Mosquini, Kathleen O'Connor",Hal Roach,N/A,N/A,N/A
1918,Her Movie Madness,"Comedy, Short",N/A,"Eva Novak, Hughie Mack, Gale Henry",Robert P. Kerr,N/A,N/A,N/A
1919,A Movie Riot,"Short, Comedy",N/A,Charlie Fong,Craig Hutchinson,N/A,N/A,N/A
1919,The Movie Queen,"Comedy, Short","The rise to stardom of a ""movie fiend.""","Ernest Shields, Jane Bernoudy, Eddie Baker",Harry Wulze,N/A,N/A,N/A
1920,The Romance of a Movie Star,Romance,A film star risks her reputation to save her beloved scenarist's married sister from infidelity.,"Violet Hopson, Stewart Rome, Gregory Scott",Richard Garrick,N/A,N/A,N/A
1920,The Movie Bug,"Comedy, Short","The hero is a country boy in love with the town grocer's daughter. The boy gets a moving picture camera and shoots every move of the family. A city slicker with a high hat comes along and tries to steal the heroine, all of which i...","Dorothea Wolbert, Eddie Gribbon, Vin Moore",Vin Moore,N/A,10 min,N/A
